Protein.Group	Protein.Names	Genes	First.Protein.Description	20260211_008_C41079_S1100213_Beads2_Group_2.mzML	20260211_007_C41079_S1100211_NosH3_Group_1.mzML	20260211_005_C41079_S1100214_Beads3_Group_2.mzML	20260211_004_C41079_S1100210_NosH2_Group_1.mzML	20260211_003_C41079_S1100209_NosH1_Group_1.mzML	20260211_002_C41079_S1100212_Beads1_Group_2.mzML
A0A068TKG0;A0A068TVJ6;A0A068UD85	A0A068TKG0_COFCA;A0A068TVJ6_COFCA;A0A068UD85_COFCA	GSCOC_T00013860001;GSCOC_T00023316001;GSCOC_T00026515001	pyruvate decarboxylase	25839.2		88048.8			28927.2
A0A068TKH0	A0A068TKH0_COFCA	GSCOC_T00013882001	Uncharacterized protein	82916.3		83535.2	58540.4	35663.1	77511.8
A0A068TKV4	A0A068TKV4_COFCA	GSCOC_T00014147001	Triosephosphate isomerase		136760		313124	117710	
A0A068TKY5	A0A068TKY5_COFCA	GSCOC_T00014191001	NAD-dependent epimerase/dehydratase domain-containing protein	52335.7	14770.9	97717.9	67801.8	30755.7	85104.6
A0A068TLP5	A0A068TLP5_COFCA	GSCOC_T00014494001	Glycosyltransferase	79078.4		10336.5	40671.2	113521	64328.5
A0A068TM60	A0A068TM60_COFCA	GSCOC_T00014761001	3-methyl-2-oxobutanoate hydroxymethyltransferase	222142	56827.1	255903			228672
A0A068TMZ6	A0A068TMZ6_COFCA	GSCOC_T00014651001	Proline iminopeptidase	91253.7		199950			170591
A0A068TNC2	A0A068TNC2_COFCA	GSCOC_T00015094001	Anaphase-promoting complex subunit 4 WD40 domain-containing protein	251953	174909	243285	135467	153410	241774
A0A068TNF0;A0A068U3L8	A0A068TNF0_COFCA;A0A068U3L8_COFCA	GSCOC_T00021791001;GSCOC_T00041592001	30S ribosomal protein S3, chloroplastic	84767.9		212029	129238	149516	659357
A0A068TNI7	A0A068TNI7_COFCA	GSCOC_T00021842001	Glyoxylate/succinic semialdehyde reductase 2, chloroplastic	129732	157387	164032	165779	156062	135480
A0A068TNJ2	A0A068TNJ2_COFCA	GSCOC_T00014959001	Ferredoxin	234831	417070		608570	234326	
A0A068TNQ6;A0A068TVH6;A0A068UAS5;A0A068UJF7;A0A068UKD5;A0A068VL07	A0A068TNQ6_COFCA;A0A068TVH6_COFCA;A0A068UAS5_COFCA;A0A068UJF7_COFCA;A0A068UKD5_COFCA;A0A068VL07_COFCA	GSCOC_T00004241001;GSCOC_T00015028001;GSCOC_T00020403001;GSCOC_T00027164001;GSCOC_T00028168001;GSCOC_T00029825001	Ras-related protein RABD1	111997	94929.3	198167	162102	140538	129654
A0A068TNV7;A0A068VNG8	A0A068TNV7_COFCA;A0A068VNG8_COFCA	GSCOC_T00012667001;GSCOC_T00014270001	RRM domain-containing protein	124480					
A0A068TNZ0	A0A068TNZ0_COFCA	GSCOC_T00015118001	transketolase	96873.2	112813	94357.9	131767	99925.2	98557.2
A0A068TP03	A0A068TP03_COFCA	GSCOC_T00015065001	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, chloroplastic		225929		269436	177945	
A0A068TP04	A0A068TP04_COFCA	GSCOC_T00014329001	NAD(P)-binding domain-containing protein	201980	137489	173665	162638	141427	172622
A0A068TP42	A0A068TP42_COFCA	GSCOC_T00021691001	Pectinesterase	209708	157868	181344	187664	127874	179567
A0A068TP42;A0A068TS90;A0A068UBZ9	A0A068TP42_COFCA;A0A068TS90_COFCA;A0A068UBZ9_COFCA	GSCOC_T00021077001;GSCOC_T00021691001;GSCOC_T00025767001	Pectinesterase	502399		513885		175199	543350
A0A068TP62	A0A068TP62_COFCA	GSCOC_T00022020001	Translation machinery associated TMA7	1.22686e+06	742725	965426	836381	777459	1.17329e+06
A0A068TPF9	A0A068TPF9_COFCA	GSCOC_T00014497001	S-methyl-5-thioribose kinase	114433	242363	85008.8	161678	186676	83531
A0A068TPP9;A0A068UWY2	A0A068TPP9_COFCA;A0A068UWY2_COFCA	GSCOC_T00021865001;GSCOC_T00037376001	RNA helicase						157805
A0A068TPP9;A0A068UWY2;A0A068V0I4;A0A068V9Y8	A0A068TPP9_COFCA;A0A068UWY2_COFCA;A0A068V0I4_COFCA;A0A068V9Y8_COFCA	GSCOC_T00009700001;GSCOC_T00021865001;GSCOC_T00037376001;GSCOC_T00040583001	RNA helicase	35261.9			842213	1.50128e+06	859408
A0A068TQ33	A0A068TQ33_COFCA	GSCOC_T00022007001	Ras-related protein Rab7	252769			846033	1.07847e+06	436526
A0A068TQ64	A0A068TQ64_COFCA	GSCOC_T00022157001	MBD domain-containing protein	125824	229376	118399	619808		121326
A0A068TQE1	A0A068TQE1_COFCA	GSCOC_T00022681001	Translation elongation factor EF1B beta/delta subunit guanine nucleotide exchange domain-containing protein	13008.6			28949.2		13611.1
A0A068TQL5	A0A068TQL5_COFCA	GSCOC_T00022197001	CobW/HypB/UreG nucleotide-binding domain-containing protein	925507	681343	833266	848267	712498	940396
A0A068TQN3	A0A068TQN3_COFCA	GSCOC_T00022789001	NADP-dependent oxidoreductase domain-containing protein	61191.8	249147	62503.9	269982	235540	64163.5
A0A068TQY9;A0A068TS68	A0A068TQY9_COFCA;A0A068TS68_COFCA	GSCOC_T00022824001;GSCOC_T00026124001	Small ribosomal subunit protein eS1	41598.1	33070.2	174126			39046.2
