Protein	Protein ID	Entry Name	Gene	Description	Protein Length	Organism	Protein Existence	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Indistinguishable Proteins	C_41079 Intensity	C_41079 MaxLFQ Intensity	C_41079 Spectral Count	C_41079 Unique Spectral Count	C_41079 Total Spectral Count
A0A068TKG0;A0A068TVJ6;A0A068UD85	A0A068TKG0;A0A068TVJ6;A0A068UD85	A0A068TKG0_COFCA;A0A068TVJ6_COFCA;A0A068UD85_COFCA	GSCOC_T00013860001;GSCOC_T00023316001;GSCOC_T00026515001	pyruvate decarboxylase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		28927.2	28927.2	1	1	1
A0A068TKH0	A0A068TKH0	A0A068TKH0_COFCA	GSCOC_T00013882001	Uncharacterized protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		77511.8	77511.8	1	1	1
A0A068TKV4	A0A068TKV4	A0A068TKV4_COFCA	GSCOC_T00014147001	Triosephosphate isomerase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068TKY5	A0A068TKY5	A0A068TKY5_COFCA	GSCOC_T00014191001	NAD-dependent epimerase/dehydratase domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		85104.6	85104.6	1	1	1
A0A068TLP5	A0A068TLP5	A0A068TLP5_COFCA	GSCOC_T00014494001	Glycosyltransferase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		64328.5	64328.5	1	1	1
A0A068TM60	A0A068TM60	A0A068TM60_COFCA	GSCOC_T00014761001	3-methyl-2-oxobutanoate hydroxymethyltransferase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		228672.0	228672.0	1	1	1
A0A068TMZ6	A0A068TMZ6	A0A068TMZ6_COFCA	GSCOC_T00014651001	Proline iminopeptidase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		170591.0	170591.0	1	1	1
A0A068TNC2	A0A068TNC2	A0A068TNC2_COFCA	GSCOC_T00015094001	Anaphase-promoting complex subunit 4 WD40 domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		241774.0	241774.0	1	1	1
A0A068TNF0;A0A068U3L8	A0A068TNF0;A0A068U3L8	A0A068TNF0_COFCA;A0A068U3L8_COFCA	GSCOC_T00021791001;GSCOC_T00041592001	30S ribosomal protein S3, chloroplastic	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		659357.0	659357.0	1	1	1
A0A068TNI7	A0A068TNI7	A0A068TNI7_COFCA	GSCOC_T00021842001	Glyoxylate/succinic semialdehyde reductase 2, chloroplastic	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		135480.0	135480.0	1	1	1
A0A068TNJ2	A0A068TNJ2	A0A068TNJ2_COFCA	GSCOC_T00014959001	Ferredoxin	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068TNQ6;A0A068TVH6;A0A068UAS5;A0A068UJF7;A0A068UKD5;A0A068VL07	A0A068TNQ6;A0A068TVH6;A0A068UAS5;A0A068UJF7;A0A068UKD5;A0A068VL07	A0A068TNQ6_COFCA;A0A068TVH6_COFCA;A0A068UAS5_COFCA;A0A068UJF7_COFCA;A0A068UKD5_COFCA;A0A068VL07_COFCA	GSCOC_T00004241001;GSCOC_T00015028001;GSCOC_T00020403001;GSCOC_T00027164001;GSCOC_T00028168001;GSCOC_T00029825001	Ras-related protein RABD1	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		129654.0	129654.0	1	1	1
A0A068TNV7;A0A068VNG8	A0A068TNV7;A0A068VNG8	A0A068TNV7_COFCA;A0A068VNG8_COFCA	GSCOC_T00012667001;GSCOC_T00014270001	RRM domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068TNZ0	A0A068TNZ0	A0A068TNZ0_COFCA	GSCOC_T00015118001	transketolase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		98557.2	98557.2	1	1	1
A0A068TP03	A0A068TP03	A0A068TP03_COFCA	GSCOC_T00015065001	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, chloroplastic	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068TP04	A0A068TP04	A0A068TP04_COFCA	GSCOC_T00014329001	NAD(P)-binding domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		172622.0	172622.0	1	1	1
A0A068TP42	A0A068TP42	A0A068TP42_COFCA	GSCOC_T00021691001	Pectinesterase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		179567.0	179567.0	1	1	1
A0A068TP42;A0A068TS90;A0A068UBZ9	A0A068TP42;A0A068TS90;A0A068UBZ9	A0A068TP42_COFCA;A0A068TS90_COFCA;A0A068UBZ9_COFCA	GSCOC_T00021077001;GSCOC_T00021691001;GSCOC_T00025767001	Pectinesterase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		543350.0	543350.0	1	1	1
A0A068TP62	A0A068TP62	A0A068TP62_COFCA	GSCOC_T00022020001	Translation machinery associated TMA7	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		1173290.0	1173290.0	1	1	1
