Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Indistinguishable Proteins	Beads_1 Intensity	Beads_1 MaxLFQ Intensity	Beads_1 Spectral Count	Beads_1 Unique Spectral Count	Beads_1 Total Spectral Count	Beads_2 Intensity	Beads_2 MaxLFQ Intensity	Beads_2 Spectral Count	Beads_2 Unique Spectral Count	Beads_2 Total Spectral Count	Beads_3 Intensity	Beads_3 MaxLFQ Intensity	Beads_3 Spectral Count	Beads_3 Unique Spectral Count	Beads_3 Total Spectral Count	NosH_1 Intensity	NosH_1 MaxLFQ Intensity	NosH_1 Spectral Count	NosH_1 Unique Spectral Count	NosH_1 Total Spectral Count	NosH_2 Intensity	NosH_2 MaxLFQ Intensity	NosH_2 Spectral Count	NosH_2 Unique Spectral Count	NosH_2 Total Spectral Count	NosH_3 Intensity	NosH_3 MaxLFQ Intensity	NosH_3 Spectral Count	NosH_3 Unique Spectral Count	NosH_3 Total Spectral Count
A0A068TKG0;A0A068TVJ6;A0A068UD85	A0A068TKG0;A0A068TVJ6;A0A068UD85	A0A068TKG0_COFCA;A0A068TVJ6_COFCA;A0A068UD85_COFCA	GSCOC_T00013860001;GSCOC_T00023316001;GSCOC_T00026515001	100	Homo sapiens	1:Experimental evidence at protein level	pyruvate decarboxylase	1.0	1.0	1	1	1	1		28927.2	28927.2	1	1	1	25839.2	25839.2	1	1	1	88048.8	88048.8	1	1	1			1	1	1			1	1	1			1	1	1
A0A068TKH0	A0A068TKH0	A0A068TKH0_COFCA	GSCOC_T00013882001	100	Homo sapiens	1:Experimental evidence at protein level	Uncharacterized protein	1.0	1.0	1	1	1	1		77511.8	77511.8	1	1	1	82916.3	82916.3	1	1	1	83535.2	83535.2	1	1	1	35663.1	35663.1	1	1	1	58540.4	58540.4	1	1	1			1	1	1
A0A068TKV4	A0A068TKV4	A0A068TKV4_COFCA	GSCOC_T00014147001	100	Homo sapiens	1:Experimental evidence at protein level	Triosephosphate isomerase	1.0	1.0	1	1	1	1				1	1	1			1	1	1			1	1	1	117710.0	117710.0	1	1	1	313124.0	313124.0	1	1	1	136760.0	136760.0	1	1	1
A0A068TKY5	A0A068TKY5	A0A068TKY5_COFCA	GSCOC_T00014191001	100	Homo sapiens	1:Experimental evidence at protein level	NAD-dependent epimerase/dehydratase domain-containing protein	1.0	1.0	1	1	1	1		85104.6	85104.6	1	1	1	52335.7	52335.7	1	1	1	97717.9	97717.9	1	1	1	30755.7	30755.7	1	1	1	67801.8	67801.8	1	1	1	14770.9	14770.9	1	1	1
A0A068TLP5	A0A068TLP5	A0A068TLP5_COFCA	GSCOC_T00014494001	100	Homo sapiens	1:Experimental evidence at protein level	Glycosyltransferase	1.0	1.0	1	1	1	1		64328.5	64328.5	1	1	1	79078.4	79078.4	1	1	1	10336.5	10336.5	1	1	1	113521.0	113521.0	1	1	1	40671.2	40671.2	1	1	1			1	1	1
A0A068TM60	A0A068TM60	A0A068TM60_COFCA	GSCOC_T00014761001	100	Homo sapiens	1:Experimental evidence at protein level	3-methyl-2-oxobutanoate hydroxymethyltransferase	1.0	1.0	1	1	1	1		228672.0	228672.0	1	1	1	222142.0	222142.0	1	1	1	255903.0	255903.0	1	1	1			1	1	1			1	1	1	56827.1	56827.1	1	1	1
A0A068TMZ6	A0A068TMZ6	A0A068TMZ6_COFCA	GSCOC_T00014651001	100	Homo sapiens	1:Experimental evidence at protein level	Proline iminopeptidase	1.0	1.0	1	1	1	1		170591.0	170591.0	1	1	1	91253.7	91253.7	1	1	1	199950.0	199950.0	1	1	1			1	1	1			1	1	1			1	1	1
A0A068TNC2	A0A068TNC2	A0A068TNC2_COFCA	GSCOC_T00015094001	100	Homo sapiens	1:Experimental evidence at protein level	Anaphase-promoting complex subunit 4 WD40 domain-containing protein	1.0	1.0	1	1	1	1		241774.0	241774.0	1	1	1	251953.0	251953.0	1	1	1	243285.0	243285.0	1	1	1	153410.0	153410.0	1	1	1	135467.0	135467.0	1	1	1	174909.0	174909.0	1	1	1
A0A068TNF0;A0A068U3L8	A0A068TNF0;A0A068U3L8	A0A068TNF0_COFCA;A0A068U3L8_COFCA	GSCOC_T00021791001;GSCOC_T00041592001	100	Homo sapiens	1:Experimental evidence at protein level	30S ribosomal protein S3, chloroplastic	1.0	1.0	1	1	1	1		659357.0	659357.0	1	1	1	84767.9	84767.9	1	1	1	212029.0	212029.0	1	1	1	149516.0	149516.0	1	1	1	129238.0	129238.0	1	1	1			1	1	1
A0A068TNI7	A0A068TNI7	A0A068TNI7_COFCA	GSCOC_T00021842001	100	Homo sapiens	1:Experimental evidence at protein level	Glyoxylate/succinic semialdehyde reductase 2, chloroplastic	1.0	1.0	1	1	1	1		135480.0	135480.0	1	1	1	129732.0	129732.0	1	1	1	164032.0	164032.0	1	1	1	156062.0	156062.0	1	1	1	165779.0	165779.0	1	1	1	157387.0	157387.0	1	1	1
